Nombre,Referencia,Nro,Importe amount_untaxed,Importe amount_total_signed,Importe amount_untaxed_signeds,Importe amount_total_signed,Importe amount_total_in_currency_signed,Proveedor,Fecha,Divisa,Estado,Tipo
FA-095746,16vjMpGibXi1GTlmNVTC,FA-095746,2197.8,-2197.8,-2197.8,-2197.8,-2197.8,1004,2023-02-15,ARS,Pagada,Factura de proveedor
FA-1373699,17hWrHSz4a6tSiC2Z2En,FA-1373699,4719.93,-4719.93,-4719.93,-4719.93,-4719.93,944,2022-11-20,ARS,Pagada,Factura de proveedor
FA-015205,1ASw20b3p9HW86EjEWz9,FA-015205,16901.9,-16901.9,-16901.9,-16901.9,-16901.9,724,2024-09-11,ARS,Pagada,Factura de proveedor
FA-01076845,1BRQeCxXtA1xrelyydAl,FA-01076845,10490.22,-10490.22,-10490.22,-10490.22,-10490.22,655,2023-01-13,ARS,Pagada,Factura de proveedor
FA-0022580,1BS0LigW1s7GnCdGWhwx,FA-0022580,16528.93,-16528.93,-16528.93,-16528.93,-16528.93,1175,2024-09-03,ARS,Pagada,Factura de proveedor
FA-0279105,1Ebzb2Pdg0QxbPi46L3h,FA-0279105,77147.87,-77147.87,-77147.87,-77147.87,-77147.87,1079,2022-03-10,ARS,Pagada,Factura de proveedor
FA-sinNro1GnZgN4LR6gu9glRicrt,1GnZgN4LR6gu9glRicrt,FA-sinNro1GnZgN4LR6gu9glRicrt,0,0,0,0,0,694,2022-03-10,ARS,Pagada,Factura de proveedor
FA-66123577,1KPAXyliW3AGLOHgmXcc,FA-66123577,3079.99,-3079.99,-3079.99,-3079.99,-3079.99,744,2023-04-21,ARS,Pagada,Factura de proveedor
FA-0111555,1M0SEvCcAXv4xQllvXvm,FA-0111555,35780.82,-35780.82,-35780.82,-35780.82,-35780.82,642,2024-09-08,ARS,Pagada,Factura de proveedor
FA-021575,1MLThjLz1KtfXAK4mhmP,FA-021575,257753.41,-257753.41,-257753.41,-257753.41,-257753.41,754,2024-03-13,ARS,Pagada,Factura de proveedor
FA-0026990,1NHFl4AMlcs9E6c4SSI2,FA-0026990,5600.0,-5600.0,-5600.0,-5600.0,-5600.0,657,2023-06-26,ARS,Pagada,Factura de proveedor
FA-0062770,1NRsqfxA6WuEnyYQJKb5,FA-0062770,162400.0,-162400.0,-162400.0,-162400.0,-162400.0,1148,2024-05-17,ARS,Pagada,Factura de proveedor
FA-00155160,1NnrX0jtDbbyy8EAfEOX,FA-00155160,629200.0,-629200.0,-629200.0,-629200.0,-629200.0,866,2023-08-09,ARS,Pagada,Factura de proveedor
FA-0033695,1O6tA4VuBiqL9cdy7vxx,FA-0033695,623400.87,-623400.87,-623400.87,-623400.87,-623400.87,862,2023-11-14,ARS,Pagada,Factura de proveedor
FA-01222874,1OVBJhs60YwGP8kdH6lD,FA-01222874,996930.0,-996930.0,-996930.0,-996930.0,-996930.0,717,2024-04-19,ARS,Pagada,Factura de proveedor
FA-004084,1P9Un9ehm5788l6E1QAF,FA-004084,27830.0,-27830.0,-27830.0,-27830.0,-27830.0,671,2022-08-03,ARS,Pagada,Factura de proveedor
FA-003673,1RlmkHB9U1f6drLelNBh,FA-003673,62856.93,-62856.93,-62856.93,-62856.93,-62856.93,918,2024-10-26,ARS,Pagada,Factura de proveedor
FA-0099581,1SWRRla8aHstqzxAgw2A,FA-0099581,8571.77,-8571.77,-8571.77,-8571.77,-8571.77,954,2023-02-24,ARS,Pagada,Factura de proveedor
FA-0042475,1ToeS0nShID2EzLSzijv,FA-0042475,17000.0,-17000.0,-17000.0,-17000.0,-17000.0,1013,2023-06-21,ARS,Pagada,Factura de proveedor
FA-00185283,1U9t1TDVaV2pjRLRaqGA,FA-00185283,712314.9,-712314.9,-712314.9,-712314.9,-712314.9,688,2023-07-05,ARS,Pagada,Factura de proveedor
FA-002100010180,1YIcsKCS73cRQfOHQsvt,FA-002100010180,5830.0,-5830.0,-5830.0,-5830.0,-5830.0,717,2023-05-14,ARS,Pagada,Factura de proveedor
FA-0186011,1ZrHkt5Q5YEIOr5TRLjy,FA-0186011,18500.41,-18500.41,-18500.41,-18500.41,-18500.41,717,2023-03-30,ARS,Pagada,Factura de proveedor
FA-sinNro1aJJVIYPC42UtEES6WAW,1aJJVIYPC42UtEES6WAW,FA-sinNro1aJJVIYPC42UtEES6WAW,2400.0,-2400.0,-2400.0,-2400.0,-2400.0,1194,2022-04-05,ARS,Pagada,Factura de proveedor
FA-00220595,1asCyn3kZVZ1vnnQ0w9o,FA-00220595,101042.99,-101042.99,-101042.99,-101042.99,-101042.99,648,2024-04-15,ARS,Pagada,Factura de proveedor
FA-sinNro1az5iGg9FXIOwDMWmPOY,1az5iGg9FXIOwDMWmPOY,FA-sinNro1az5iGg9FXIOwDMWmPOY,5719.01,-5719.01,-5719.01,-5719.01,-5719.01,927,2022-03-25,ARS,Pagada,Factura de proveedor
FA-00187109,1b9m1ND7kvR4nmfU6CEG,FA-00187109,1139407.39,-1139407.39,-1139407.39,-1139407.39,-1139407.39,688,2023-11-25,ARS,Pagada,Factura de proveedor
FA-00529,1bFR72seCc8NLG9MqCUV,FA-00529,63300.0,-63300.0,-63300.0,-63300.0,-63300.0,1015,2023-11-07,ARS,Pagada,Factura de proveedor
FA-183691,1bqbXDBoWOcB17iYdfaL,FA-183691,1110.0,-1110.0,-1110.0,-1110.0,-1110.0,717,2022-08-13,ARS,Pagada,Factura de proveedor
FA-00341123,1cW6XlPB52LjGqYN94el,FA-00341123,11570.25,-11570.25,-11570.25,-11570.25,-11570.25,769,2024-03-06,ARS,Pagada,Factura de proveedor
FA-16513,1d1DCg9CFmMyn8GmRULg,FA-16513,32397.0,-32397.0,-32397.0,-32397.0,-32397.0,911,2022-09-13,ARS,Pagada,Factura de proveedor
FA-0052099,1ed8ZqRX43UxvWO5I5WV,FA-0052099,117550.0,-117550.0,-117550.0,-117550.0,-117550.0,983,2024-07-07,ARS,Pagada,Factura de proveedor
FA-00213146,1eiu4uNKfy4FvhnCGK5i,FA-00213146,2562.3,-2562.3,-2562.3,-2562.3,-2562.3,648,2023-03-30,ARS,Pagada,Factura de proveedor
FA-0000300004799,1gKiN4JzzhzCBw2HxpHc,FA-0000300004799,390000.0,-390000.0,-390000.0,-390000.0,-390000.0,832,2023-06-06,ARS,Pagada,Factura de proveedor
FA-00525758,1logh5NgyDCTlmEsmXQl,FA-00525758,3740163.24,-3740163.24,-3740163.24,-3740163.24,-3740163.24,1008,2024-02-02,ARS,Pagada,Factura de proveedor
FA-002237,1lwrKpbEYAfyHxH7UQE5,FA-002237,309155.0,-309155.0,-309155.0,-309155.0,-309155.0,1063,2024-08-28,ARS,Pagada,Factura de proveedor
FA-0107555,1mih44d8N5NM0dWWU8OA,FA-0107555,119306.0,-119306.0,-119306.0,-119306.0,-119306.0,964,2024-06-21,ARS,Pagada,Factura de proveedor
FA-014448,1nSn2qTRyPw9BvMYa3GW,FA-014448,62048.56,-62048.56,-62048.56,-62048.56,-62048.56,682,2023-05-03,ARS,Pagada,Factura de proveedor
FA-1378647,1pg5LpfWEsFmtCgv32Ru,FA-1378647,385893.06,-385893.06,-385893.06,-385893.06,-385893.06,944,2024-09-23,ARS,Pagada,Factura de proveedor
FA-00210636,1qSwpVCcR8gfcbu3SBPp,FA-00210636,94900.0,-94900.0,-94900.0,-94900.0,-94900.0,1194,2024-08-19,ARS,Pagada,Factura de proveedor
FA-0063361,1qbtpO1GxicPP0vD295Y,FA-0063361,265000.0,-265000.0,-265000.0,-265000.0,-265000.0,1148,2024-09-13,ARS,Pagada,Factura de proveedor
FA-00934,1qjqeN2V1A0dBW0rbSpj,FA-00934,75500.0,-75500.0,-75500.0,-75500.0,-75500.0,1070,2023-11-24,ARS,Pagada,Factura de proveedor
FA-sinNro1rNmtZ5xHhvokaWy0gv1,1rNmtZ5xHhvokaWy0gv1,FA-sinNro1rNmtZ5xHhvokaWy0gv1,12575.0,-12575.0,-12575.0,-12575.0,-12575.0,648,2024-01-30,ARS,Pagada,Factura de proveedor
FA-01271141,1tCiwcxfq6eEgKCjzpzb,FA-01271141,37500.0,-37500.0,-37500.0,-37500.0,-37500.0,727,2024-09-13,ARS,Pagada,Factura de proveedor
FA-0211148,1tmEsLIXsATygmJPDXvT,FA-0211148,139654.26,-139654.26,-139654.26,-139654.26,-139654.26,754,2024-08-31,ARS,Pagada,Factura de proveedor
FA-011980,1u0REiOlscvoEZT3DuW5,FA-011980,17890.73,-17890.73,-17890.73,-17890.73,-17890.73,642,2023-09-28,ARS,Pagada,Factura de proveedor
FA-0161300,1ufvL4bRfwBtJlv1rTQP,FA-0161300,12899.99,-12899.99,-12899.99,-12899.99,-12899.99,1145,2023-01-04,ARS,Pagada,Factura de proveedor
FA-004721,1urS62uPbCGILtgJCw8z,FA-004721,592900.0,-592900.0,-592900.0,-592900.0,-592900.0,889,2024-10-28,ARS,Pagada,Factura de proveedor
FA-c 1001002,1vHWF3oQbmyUPWnkix8d,FA-c 1001002,4000.0,-4000.0,-4000.0,-4000.0,-4000.0,1114,2022-08-12,ARS,Pagada,Factura de proveedor
FA-003842,1vOTTtsnKqTaqSeVu1K0,FA-003842,22469.99,-22469.99,-22469.99,-22469.99,-22469.99,1122,2023-04-18,ARS,Pagada,Factura de proveedor
FA-03827657,1vz5IGBlbBu46tMUtbPJ,FA-03827657,4540039.34,-4540039.34,-4540039.34,-4540039.34,-4540039.34,1092,2024-05-27,ARS,Pagada,Factura de proveedor
FA-sinNro1wAGp9hnU4plav1b9wsk,1wAGp9hnU4plav1b9wsk,FA-sinNro1wAGp9hnU4plav1b9wsk,106099.59,-106099.59,-106099.59,-106099.59,-106099.59,936,2024-03-12,ARS,Pagada,Factura de proveedor
FA-003510,1xCpKddneBapbtPRYFv3,FA-003510,623997.0,-623997.0,-623997.0,-623997.0,-623997.0,794,2023-07-31,ARS,Pagada,Factura de proveedor
FA-009262,1xWZkn3xkXKYTqZn5GO7,FA-009262,17970.0,-17970.0,-17970.0,-17970.0,-17970.0,958,2022-11-03,ARS,Pagada,Factura de proveedor
FA-005173,1yWH7ot3Q7Bplf9OitHR,FA-005173,17350.0,-17350.0,-17350.0,-17350.0,-17350.0,1116,2023-01-14,ARS,Pagada,Factura de proveedor
FA-00220946,24DWEyN6pTcrGeQmEqXd,FA-00220946,27420.54,-27420.54,-27420.54,-27420.54,-27420.54,648,2024-05-03,ARS,Pagada,Factura de proveedor
FA-sinNro25NSCWAwFubT4JfEv,25NSCWAwFubT4JfEv,FA-sinNro25NSCWAwFubT4JfEv,10640.0,-10640.0,-10640.0,-10640.0,-10640.0,1194,2019-12-16,ARS,Pagada,Factura de proveedor
FA-0215243,26BzO3xpmWmOwxdhiUTb,FA-0215243,82031.31,-82031.31,-82031.31,-82031.31,-82031.31,717,2022-12-06,ARS,Pagada,Factura de proveedor
FA-sinNro26C3YCDF5LDJ4vfgJ,26C3YCDF5LDJ4vfgJ,FA-sinNro26C3YCDF5LDJ4vfgJ,2458.2,-2458.2,-2458.2,-2458.2,-2458.2,1194,2019-06-21,ARS,Pagada,Factura de proveedor
FA-0226566,26d22RTTVFkJDWg5kWQt,FA-0226566,17788.39,-17788.39,-17788.39,-17788.39,-17788.39,717,2023-11-01,ARS,Pagada,Factura de proveedor
FA-sinNro26zLz4KeJCT5Dswct,26zLz4KeJCT5Dswct,FA-sinNro26zLz4KeJCT5Dswct,9860.19,-9860.19,-9860.19,-9860.19,-9860.19,936,2022-02-21,ARS,Pagada,Factura de proveedor
FA-sinNro27E962x4YYuhxcKFJ,27E962x4YYuhxcKFJ,FA-sinNro27E962x4YYuhxcKFJ,39670.0,-39670.0,-39670.0,-39670.0,-39670.0,717,2021-09-15,ARS,Pagada,Factura de proveedor
FA-sinNro288HZZ9GWHasE3zzK,288HZZ9GWHasE3zzK,FA-sinNro288HZZ9GWHasE3zzK,2300.0,-2300.0,-2300.0,-2300.0,-2300.0,1194,2020-05-23,ARS,Pagada,Factura de proveedor
FA-00154995,289mrF6eCwq81RYPdmsR,FA-00154995,786500.0,-786500.0,-786500.0,-786500.0,-786500.0,866,2023-07-18,ARS,Pagada,Factura de proveedor
FA-sinNro28FhzFFHkWNJxAXFo,28FhzFFHkWNJxAXFo,FA-sinNro28FhzFFHkWNJxAXFo,8640.02,-8640.02,-8640.02,-8640.02,-8640.02,1191,2021-05-03,ARS,Pagada,Factura de proveedor
FA-003220,2At39Dh4kyu9IiZcCFyq,FA-003220,54000.0,-54000.0,-54000.0,-54000.0,-54000.0,697,2024-07-04,ARS,Pagada,Factura de proveedor
FA-10648336,2BDZK5TNvBkPXvBz4FmU,FA-10648336,14085.16,-14085.16,-14085.16,-14085.16,-14085.16,1088,2022-08-11,ARS,Pagada,Factura de proveedor
FA-sinNro2CWwFd6HjwMQhgpyf,2CWwFd6HjwMQhgpyf,FA-sinNro2CWwFd6HjwMQhgpyf,40656.0,-40656.0,-40656.0,-40656.0,-40656.0,1194,2021-07-08,ARS,Pagada,Factura de proveedor
FA-0029932,2DQha9et0cBTbDhPG3QH,FA-0029932,75700.0,-75700.0,-75700.0,-75700.0,-75700.0,657,2024-05-23,ARS,Pagada,Factura de proveedor
FA-0023705,2FDZxcg299I6W6IopYuN,FA-0023705,845064.0,-845064.0,-845064.0,-845064.0,-845064.0,651,2023-07-15,ARS,Pagada,Factura de proveedor
FA-00221638,2FQOM0nMkYTS5QZjtJDa,FA-00221638,19965.7,-19965.7,-19965.7,-19965.7,-19965.7,648,2024-06-07,ARS,Pagada,Factura de proveedor
FA-sinNro2IEWb6jDYYY5w2dg1w4a,2IEWb6jDYYY5w2dg1w4a,FA-sinNro2IEWb6jDYYY5w2dg1w4a,15273.47,-15273.47,-15273.47,-15273.47,-15273.47,936,2022-10-27,ARS,Pagada,Factura de proveedor
FA-011877,2JXu4vDfRvdmjYiEPImY,FA-011877,79134.31,-79134.31,-79134.31,-79134.31,-79134.31,712,2022-04-09,ARS,Pagada,Factura de proveedor
FA-sinNro2K2iQRZyFTPkeunqb,2K2iQRZyFTPkeunqb,FA-sinNro2K2iQRZyFTPkeunqb,1210.0,-1210.0,-1210.0,-1210.0,-1210.0,848,2021-06-17,ARS,Pagada,Factura de proveedor
FA-00515318,2KPvBZr4Yk9aZv9KxR7H,FA-00515318,59800.0,-59800.0,-59800.0,-59800.0,-59800.0,660,2023-05-08,ARS,Pagada,Factura de proveedor
FA-sinNro2MrL7coT9xf9HNv3Q,2MrL7coT9xf9HNv3Q,FA-sinNro2MrL7coT9xf9HNv3Q,1202.44,-1202.44,-1202.44,-1202.44,-1202.44,1194,2020-03-13,ARS,Pagada,Factura de proveedor
FA-0093295,2NTbx1bXkPDXT8fptHZG,FA-0093295,10000.0,-10000.0,-10000.0,-10000.0,-10000.0,1077,2022-11-06,ARS,Pagada,Factura de proveedor
FA-00310672,2NjgAx0lEtTdJpRIwmyI,FA-00310672,95873.0,-95873.0,-95873.0,-95873.0,-95873.0,716,2024-08-26,ARS,Pagada,Factura de proveedor
FA-sinNro2R3BvagHB7Ti8AqxL,2R3BvagHB7Ti8AqxL,FA-sinNro2R3BvagHB7Ti8AqxL,4300.2,-4300.2,-4300.2,-4300.2,-4300.2,717,2021-09-11,ARS,Pagada,Factura de proveedor
